Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
33613;IF2P;190 RUE ACHARD;BAT C1;33300;BORDEAUX;05 56 43 16 15;MARINE SIMONNEAU;IF2P ATELIERS;;176 RUE ACHARD;BAT C1;33300;BORDEAUX;05 56 43 16 15;;M.
33614;CHATEAU NOAILLAC;6 CHEMINS SABLE DES PINS;;33590;JAU DIGNAC ET LOIRAC;05 56 09 52 20;CHATEAU NOAILLAC;CHATEAU NOAILLAC;;6 CHEMINS SABLE DES PINS;;33590;JAU DIGNAC ET LOIRAC;05 56 09 52 20;;CHATEAU NOAILLAC
33615;ADDEN BORDEAUX;CABINET D'AVOCATS;46 RUE DU MARECHAL JOFFRE;33000;BORDEAUX;05 56 06 04 36;LAURENT GIVORD;ADDEN BORDEAUX;;CABINET D'AVOCATS;46 RUE DU MARECHAL JOFFRE;33000;BORDEAUX;05 56 06 04 36;;M.
33616;DB3C;EXPERTISE COMPTABLE;35 AVENUE AUGUSTE FERRET;33110;LE BOUSCAT;05 57 22 45 22;JOSIANE PLANCHAIS;DB3C;;EXPERTISE COMPTABLE;35 AVENUE AUGUSTE FERRET;33110;LE BOUSCAT;05 57 22 45 22;;M.
33617;ABC MH;75 RUE ALBERT 1ER;;33250;PAUILLAC;05 56 41 13 49;CHAGNIAT;ABC MH;;75 RUE ALBERT 1ER;;33250;PAUILLAC;05 56 41 13 49;;CHAGNIAT
33618;VIGNOBLES BROUSSEAU;60 COURS VICTOR HUGO;;33340;LESPARRE MEDOC;05 56 59 39 84;M.;VIGNOBLES BROUSSEAU;;60 COURS VICTOR HUGO;;33340;LESPARRE MEDOC;05 56 59 39 84;;M.
33620;COURRIAN ETS;4 RUE DES COLOMBIERS;;33340;PRIGNAC EN MEDOC;05 56 09 08 09;M.;COURRIAN ETS;;4 RUE DES COLOMBIERS;;33340;PRIGNAC EN MEDOC;05 56 09 08 09;;M.
33621;CMES;;4 IMPASSE ZA DE LANDERGRAND;33290;PAREMPUYRE;627874755;COSTA BRIGITTE;CMES;;;4 IMPASSE ZA DE LANDERGRAND;33290;PAREMPUYRE;627874755;;CMES
33622;SCEA DES DOMAINES PEDRO;CHATEAU MEYNIEU;8 RUE LAMARTINE;33180;VERTHEUIL;05 56 73 32 10;REGIMBEAU BARON;SCEA DES DOMAINES PEDRO;;CHATEAU MEYNIEU;8 RUE LAMARTINE;33180;VERTHEUIL;05 56 73 32 10;;REGIMBEAU BARON
33623;CAVE MARQUIS DE ST ESTEPHE;2 ROUTE DU MEDOC;;33180;ST ESTEPHE;05 56 73 35 30;M. JEANPIERRE;CAVE MARQUIS DE ST ESTEPHE;;2 ROUTE DU MEDOC;;33180;ST ESTEPHE;05 56 73 35 30;;M. JEANPIERRE
33624;DOCTEUR N'GUYEN;60 COURS DE LA MARNE;;33800;BORDEAUX;05 56 91 47 16;M.;DOCTEUR N'GUYEN;;36 PLACE DES CAPUCINS;;33800;BORDEAUX;05 56 91 47 16;;M.
33626;INVIVO (DR);QUAI DE VIAL;BASSENS;33565;CARBON BLANC;05 56 33 20 20;ROSE MARIE;INVIVO DELEGATION REGIONALE;;QUAI DE VIAL;BASSENS;33530;BASSENS;05 56 33 20 20;;M.
33627;AQUITONER;8 RUE GALILEE;ZA DE LA MORANDIERE;33185;LE HAILLAN;06 08 18 89 21;BERNARD BORNE;AQUITONER;;8 RUE GALILEE;ZA DE LA MORANDIERE;33185;LE HAILLAN;06 08 18 89 21;;M.
33628;BATI MEDOC;20 PLACE GAMBETTA;;33340;LESPARRE MEDOC;05 56 41 87 18;M.;BATI MEDOC;;20 PLACE GAMBETTA;;33340;LESPARRE MEDOC;05 56 41 87 18;;M.
33629;SCP BAYLE - JOLY;103 TER RUE BELLEVILLE;;33000;BORDEAUX;05 56 52 97 66;LASSABLIERE;SCP BAYLE - JOLY;;103 TER RUE BELLEVILLE;;33000;BORDEAUX;05 56 52 97 66;;M.
33630;CHATEAU LA FON DU BERGER;VIGNOBLES BOUGES;5 ROUTE DU FOURNAS;33250;ST SAUVEUR;05 56 59 51 43;BOUGES;CHATEAU LA FON DU BERGER;;VIGNOBLES BOUGES;5 ROUTE DU FOURNAS;33250;ST SAUVEUR;05 56 59 51 43;;BOUGES
33632;COLLEGE ALIENOR D'AQUITAINE;16 RUE DOM DEVIENNE;;33800;BORDEAUX;05 56 91 42 43;LUCIE GOUVERNE;COLLEGE ALIENOR D'AQUITAINE;;16 RUE DOM DEVIENNE;;33800;BORDEAUX;05 56 91 42 43;;M.
33633;DR CELINE CABRERAS;ROUTE DU LANDAT;;33250;CISSAC MEDOC;07 88 22 20 65;M.;DR CELINE CABRERAS;;ROUTE DU LANDAT;;33250;CISSAC MEDOC;07 88 22 20 65;;M.
33636;SAS TAXIS DU MEDOC;15 RUE DE LA POSTE;BP7;33930;VENDAYS MONTALIVET;05 56 41 74 46;MR GUSEDON;SAS TAXIS DU MEDOC;;15 RUE DE LA POSTE;BP7;33930;VENDAYS MONTALIVET;05 56 41 74 46;;MR GUSEDON
33637;BOUILLEAU CMC;6 CHEMIN DE NONET;;33340;QUEYRAC;05 56 59 81 20;BOUILLEAU CMC;BOUILLEAU CMC;;6 CHEMIN DE NONET;;33340;QUEYRAC;05 56 59 81 20;;BOUILLEAU CMC
33638;AQUITAINE EUROPE COMMUNICATION;137 RUE ACHARD;;33300;BORDEAUX;05 57 57 01 01;SONIA;AQUITAINE EUROPE COMMUNICATION;;137 RUE ACHARD;;33300;BORDEAUX;05 57 57 01 01;;M.
33639;EPS 33;18 AVENUE DE GUYENNE;;33370;ARTIGUES PRES BORDEAUX;05 56 40 55 31;DIDIER TALBOT;EPS 33;;18 AVENUE DE GUYENNE;;33370;ARTIGUES PRES BORDEAUX;05 56 40 55 31;;EPS 33
33641;QUALIBAT GESTION;4 AVENUE DE CHAVAILLES;BAT 9  1ER ETAGE;33525;BRUGES;05 56 39 18 54;CATHY DUMORA;QUALIBAT GESTION;;4 AVENUE DE CHAVAILLES;BAT 9  1ER ETAGE;33525;BRUGES;05 56 39 18 54;;Cathy DUMORA
33643;SOS EMPLOI;7 COURS DU MARECHAL LECLERC;;33340;LESPARRE MEDOC;05 56 73 34 40;M.;SOS EMPLOI;;7 COURS DU MARECHAL LECLERC;;33340;LESPARRE MEDOC;05 56 73 34 40;;M.
33644;HORIZON BORDEAUX;ZAC MERMOZ;46 AVENUE RENE ANTOUNE;33320;EYSINES;05 56 05 05 05;MAGALI;HORIZON BORDEAUX;;ZAC MERMOZ;46 AVENUE RENE ANTOUNE;33320;EYSINES;05 56 05 05 05;;HORIZON BORDEAUX
33645;DOMAINE AUDOY;CHATEAU COS-LABORY;CHATEAU ANDRON-BLANQUET;33180;ST ESTEPHE;05 56 59 30 22;AUDOY;DOMAINES AUDOY;;CHATEAU COS LABORY;CHATEAU ANDRON-BLANQUET;33180;ST ESTEPHE;05 56 59 30 22;;AUDOY
33646;PHARMACIE DU MEDOC;52 RUE DU MARECHAL JOFFRE;;33250;PAUILLAC;05 56 59 01 05;MR BENESSE jean louis;PHARMACIE DU MEDOC;;52 RUE DU MARECHAL JOFFRE;;33250;PAUILLAC;05 56 59 01 05;;PARMENTIER
33647;CAVE SAINT BRICE;10 RUE DE LA COLONNE;;33340;ST YZANS DE MEDOC;05 56 09 05 05;MONGE;CAVE SAINT BRICE;;10 RUE DE LA COLONNE;;33340;ST YZANS DE MEDOC;05 56 09 05 05;;MONGE
33648;BORDEAUX TONNEAUX;35 RUE DE BAYLE;;33180;VERTHEUIL;05 56 41 94 98;M.;BORDEAUX TONNEAUX;;35 RUE DE BAYLE;;33180;VERTHEUIL;05 56 41 94 98;;M.
33649;MAIRIE DE VALEYRAC;2 PLACE DU 11 NOVEMBRE;;33340;VALEYRAC;05 56 41 52 01;M.;MAIRIE DE VALEYRAC;;2 PLACE DU 11 NOVEMBRE;;33340;VALEYRAC;05 56 41 52 01;;M.
33651;CABINET DE KINESITHERAPIE;10 QUAI JEAN FLEURET;;33250;PAUILLAC;05 56 59 20 70;GENUER;CABINET DE KINESITHERAPIE;;10 QUAI JEAN FLEURET;;33250;PAUILLAC;05 56 59 20 70;;GENUER
33653;MAIRIE DE VENDAYS MONTALIVET;11 PLACE DE LA MAIRIE;BP 1;33930;VENDAYS MONTALIVET;05 56 73 32 02;M.;ECOLE DE VENDAYS;;PLACE DE LA MAIRIE;BP 1;33930;VENDAYS MONTALIVET;05 56 73 32 02;;M.
33655;CHAMBERY AUTOMOBILE JRA33 SCE;8 AVENUE MARCEL DASSAULT;;33700;MERIGNAC;;M.;CHAMBERY AUTOMOBILE SCE GENERA;;8 RUE JEAN PAGES;;33140;VILLENAVE D ORNON;;;M.
33656;SCM KINESIS;CABINET DE REEDUCATION;108 AVENUE LEON BLUM;33110;LE BOUSCAT;05 56 02 75 07;CHRISTELLE;SCM KINESIS;;108 AVENUE LEON BLUM;108 AVENUE LEON BLUM;33110;LE BOUSCAT;05 56 02 75 07;;CHRISTELLE
33660;RESERVE NATURELLE MARAIS BRUGE;LE BARON;AVENUE DES 4 PONTS;33520;BRUGES;05 56 57 09 89;MR DUILLES STEPHANE;RESERVE NATURELLE MARAIS BRUGE;;LE BARON;AVENUE DES 4 PONTS;33520;BRUGES;05 56 57 09 89;;MR DUILLES STEPHANE
33661;USA AMBULANCE;29 COURS DU GENERAL DE GAULLE;;33340;LESPARRE MEDOC;05 56 41 13 13;M.;USA AMBULANCE;;29 COURS DU GENERAL DE GAULLE;;33340;LESPARRE MEDOC;05 56 41 13 13;;M.
33662;AMBULANCES LESPARRAINES;29 CRS DU GENERAL LECLERC;;33340;LESPARRE MEDOC;05 56 41 07 06;MOUTIC;AMBULANCES LESPARRAINES;;29 CRS DU GENERAL LECLERC;;33340;LESPARRE MEDOC;05 56 41 07 06;;MOUTIC
33663;LAM;13 CHEMIN DES POULARDS;;33340;GAILLAN EN MEDOC;05 56 41 23 85;LAM;LAM;;13 CHEMIN DES POULARDS;;33340;GAILLAN EN MEDOC;05 56 41 23 85;;LAM
33665;CHATEAU LESQUIREAU DESSE;RUE DU BAYLE;;33180;VERTHEUIL;05 56 41 98 03;M.;CHATEAU LESQUIREAU DESSE;;RUE DU BAYLE;;33180;VERTHEUIL;05 56 41 98 03;;M.
33666;MOLARES NICOLAS;ARCHITECTURE;57 COURS JOURNU AUBER;33300;BORDEAUX;;M.;MOLARES NICOLAS;;ARCHITECTURE;57 COURS JOURNU AUBER;33300;BORDEAUX;;;MOLARES NICOLAS
33667;SERVANT MOTOCULTURE;ZAC DE BELLOC;;33340;LESPARRE MEDOC;05 56 41 09 71;M.;SERVANT MOTOCULTURE;;ZAC DE BELLOC;;33340;LESPARRE MEDOC;05 56 41 09 71;;M.
33671;MARATHON DU MEDOC;5 RUE ETIENNE DIEUZEDE;;33250;PAUILLAC;05 56 59 17 20;DUVOCELLE ALBERT;MARATHON DU MEDOC;;5 RUE ETIENNE DIEUZEDE;;33250;PAUILLAC;05 56 59 17 20;;DUVOCELLE ALBERT
33672;PHARMACIE AGUSSAN;29 ROUTE DE LANDAT;;33250;CISSAC MEDOC;05 56 59 56 40;MARIE AGUSSAN;PHARMACIE AGUSSAN;;29 ROUTE DE LANDAT;;33250;CISSAC MEDOC;05 56 59 56 40;;M.
33673;ASSOC DES OENOLOGUES DE LA FAC;210 CHEMIN DE LEYSOTTE;CS50008;33882;VILLENAVE D'ORNON CEDEX;05 57 57 68 24;ASSOC DES OENOLOGUES DE LA FAC;ASSOC DES OENOLOGUES DE LA FAC;;210 CHEMIN DE LEYSOTTE;CS50008;33882;VILLENAVE D'ORNON CEDEX;05 57 57 68 24;;ASSOC DES OENOLOGUES DE LA FAC
33674;MAIRIE DE ST CHRISTOLY MEDOC;1 PLACE EDOUARD LARDILEY;;33340;ST CHRISTOLY MEDOC;05 56 41 53 07;MME GUYONNAUD Aur�lia;MAIRIE DE ST CHRISTOLY MEDOC;;1 PLACE EDOUARD LARDILEY;;33340;ST CHRISTOLY MEDOC;05 56 41 53 07;;MME GUYONNAUD Aur�lia
33675;PROVENCE ENROBES;1 AVENUE ROBERT ROCHE;ZI LES AIGUILLES;13180;GIGNAC LA NERTHE;06 60 03 48 87;JEROME;PROVENCE ENROBES;;1 AVENUE ROBERT ROCHE;ZI LES AIGUILLES;13180;GIGNAC LA NERTHE;06 60 03 48 87;;M.
33676;PARFUM FABIANI;AUTOUR DES SENS;48 COURS ST LOUIS;33000;BORDEAUX;05 56 29 08 97;"Marie TASSOU ""Directrice""";PARFUM FABIANI;;AUTOUR DES SENS;48 COURS ST LOUIS;33000;BORDEAUX;05 56 29 08 97;;"Marie TASSOU ""Directrice"""
33677;OGF PF ALAIN ROBERT;28 COURS MAL DE LATTRE DE TASSIGNY;BP3007;33341;LESPARRE CEDEX;05 56 73 40 61;A ROBERT;OGF PF ALAIN ROBERT;;28 COURS MAL DE LATTRE DE TASSIGNY;BP3007;33341;LESPARRE CEDEX;05 56 73 40 61;;A ROBERT
33678;IMPRIMERIE CASTET;6 BIS QUAI DE PALUDATE;;33800;BORDEAUX;05 56 91 51 08;E FAURE-CASTET;IMPRIMERIE CASTET;;6 BIS QUAI DE PALUDATE;;33800;BORDEAUX;05 56 91 51 08;;M.
33680;AUTO LECLERC;SARL TERRE ROUGE;RN 215;33340;LESPARRE MEDOC;05 56 73 27 90;M.;AUTO LECLERC;;SARL TERRE ROUGE;RN 215;33340;LESPARRE MEDOC;05 56 73 27 90;;M.
33682;ART NOUVEAU COMMUNICATION;75 RUE ALBERT 1ER;;33250;PAUILLAC;05 56 59 60 40;MR MASSE;ART NOUVEAU COMMUNICATION;;75 RUE ALBERT 1ER;;33250;PAUILLAC;05 56 59 60 40;;MR MASSE
33683;CHAMBERY AUTOMOBILE JRA33 LORM;8 AVENUE MARCEL DASSAULT;;33700;MERIGNAC;05 57 30 68 00;JELELATI;CHAMBERY AUTO LORMONT;;AVENUE DE PARIS;;33310;LORMONT;05 57 30 68 00;;JELELATI
33684;LOISIRS ET TECHNIQUE;RUE YVES GLOTIN;;33083;BORDEAUX;05 56 50 40 40;LOISIRS ET TECHNIQUE;LOISIRS ET TECHNIQUE;;RUE YVES GLOTIN;;33083;BORDEAUX;05 56 50 40 40;;LOISIRS ET TECHNIQUE
33686;DR DELPEU;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR DELPEU;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33687;DR QUEYROI;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR QUEYROI;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33688;DR DESCHAMPS;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR DESCHAMPS;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33689;DR HELIOT;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR HELIOT;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33690;DR LAFORGE;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR LAFORGE;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33691;DR RAKOTONDRASOA;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR RAKOTONDRASOA;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33692;DR RICHARD;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR RICHARD;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33693;DR GARINO;106 AV LEON BLUM;;33110;LE BOUSCAT;05 56 08 79 83;M.;DR GARINO;;106 AV LEON BLUM;;33110;LE BOUSCAT;05 56 08 79 83;;M.
33695;FLORALDECO - MME JOURDES;1 BIS RUE MARECHAL JUIN;;33250;PAUILLAC;05 57 75 21 86;CHRISTINE JOURDES;FLORALDECO - MME JOURDES;;1 BIS RUE DU MARECHAL JUIN;;33250;PAUILLAC;05 57 75 21 86;;M.
33696;COMITE DES FETES DE ST ESTEPHE;MAIRIE DE ST ESTEPHE;;33180;ST ESTEPHE;05 56 59 74 90;DESPRES;COMITE DES FETES DE ST ESTEPHE;;MAIRIE DE ST ESTEPHE;;33180;ST ESTEPHE;05 56 59 74 90;;DESPRES
33697;CHATEAU LES TUILERIES;SCEA DARTIGUENAVE ET FILS;6 RUE DE LAMENA;33340;ST YZANS DE MEDOC;05 56 09 05 31;M.;CHATEAU LES TUILERIES;;SCEA DARTIGUENAVE ET FILS;6 RUE DE LAMENA;33340;ST YZANS DE MEDOC;05 56 09 05 31;;M.
33698;POURADIER;124 COURS DU MEDOC;;33300;BORDEAUX;05 56 69 91 91;SABINE BIRKEL;POURADIER;;124 COURS DU MEDOC;;33300;BORDEAUX;05 56 69 91 91;;POURADIER
33699;VIGNOBLES CAUSSEQUE;CHATEAU BELLEGRAVE;1 RUE DE JANTON;33340;VALEYRAC;05 56 41 53 82;MME CAUSSEQUE;VIGNOBLES CAUSSEQUE;EI;CHATEAU BELLEGRAVE;1 RUE DE JANTON;33340;VALEYRAC;05 56 41 53 82;;MME CAUSSEQUE
33700;CHATEAU MOULIN DE LA HARGUE;2 ROUTE DE COURBIAN;;33340;BEGADAN;05 56 41 54 59;M.;CHATEAU MOULIN DE LA HARGUE;;2 ROUTE DE COURBIAN;;33340;BEGADAN;05 56 41 54 59;;M.
33704;DR BASSELERIE;106 AV LEON BLUM;;33110;LE BOUSCAT;;M.;DR BASSELERIE;;106 AV LEON BLUM;;33110;LE BOUSCAT;;;M.
33705;GARAGE IMPERIAL;11 RUE DES REMOULEURS;ZAC DE BELLOC;33340;LESPARRE MEDOC;05 56 09 63 56;GARAGE IMPERIAL;GARAGE IMPERIAL;;11 RUE DES REMOULEURS;ZAC DE BELLOC;33340;LESPARRE MEDOC;05 56 09 63 56;;GARAGE IMPERIAL
33706;CABINET DE RADIOLOGIE ET ECHO;7 RUE BERTRAND MURAT;;33250;PAUILLAC;;M.;CABINET DE RADIOLOGIE ET ECHO;;7 RUE BERTRAND MURAT;;33250;PAUILLAC;;;M.
33708;JACQUES CRECHE;SCI LA MONTMORENCY;19 RUE GOUDOULI;31240;ST JEAN;07 71 18 72 68;M.;CRECHE;;SCI LA MONTMORENCY;19 RUE GOUDOULI;31240;ST JEAN;07 71 18 72 68;;M.
33709;SAS VIGNOBLES RIFFAUD;CHATEAU SOULEY STE CROIX;32 RUE DES MARTYRS DE LA RESISTANCE;33180;VERTHEUIL;556419854;SAS VIGNOBLES RIFFAUD;SAS VIGNOBLES RIFFAUD;;CHATEAU SOULEY STE CROIX;32 RUE DES MARTYRS DE LA RESISTANCE;33180;VERTHEUIL;556419854;;SAS VIGNOBLES RIFFAUD
33711;PEPINIERES DOMENS;28 ROUTE DE PAUILLAC;;33340;LESPARRE MEDOC;05 56 41 08 58;PEPINIERES DOMENS;PEPINIERES DOMENS;;28 ROUTE DE PAUILLAC;;33340;LESPARRE MEDOC;05 56 41 08 58;;PEPINIERES DOMENS
33713;CHATEAU CHANTELYS;32 RUE DES COLOMBIERS;;33340;PRIGNAC EN MEDOC;05 56 09 02 78;COURRIAN;CHATEAU CHANTELYS;;32 RUE DES COLOMBIERS;;33340;PRIGNAC EN MEDOC;05 56 09 02 78;;COURRIAN
33714;BTC VERTHEUILLAIS;CHEZ MR BELLEGARDE;6 RUE DU 8 MAI;33180;VERTHEUIL;06 77 07 13 96;M.;BTC VERTHEUILLAIS;;CHEZ MR BELLEGARDE;6 RUE DU 8 MAI;33180;VERTHEUIL;06 77 07 13 96;;M.
33716;JOUER EN MEDOC;ZA DE BELOC;;33340;LESPARRE MEDOC;05 56 59 76 85;PRAT;JOUER EN MEDOC;;ZA DE BELOC;;33340;LESPARRE MEDOC;05 56 59 76 85;;PRAT
33717;DOMAINE LA CROIX DE PEZ;PEZ;6 RUE DU MEDOC;33180;ST ESTEPHE;06 82 95 87 73;M.;DOMAINE LA CROIX DE PEZ;;PEZ;6 RUE DU MEDOC;33180;ST ESTEPHE;06 82 95 87 73;;M.
33720;CHATEAU DE BARBE;STE CIVILE VILLENEUVOISE;1 CHATEAU DE BARBE;33710;VILLENEUVE;05 57 42 64 00;CHATEL;CHATEAU DE BARBE;;STE CIVILE VILLENEUVOISE;1 CHATEAU DE BARBE;33710;VILLENEUVE;05 57 42 64 00;;CHATEL
33722;FA GIRONDE;1 AV DU MEILLEUR OUVRIER DE;FRANCE;33700;MERIGNAC;05 56 18 58 10;FRANCOISE;FA GIRONDE;;1 RUE DU MEILLEUR OUVRIER DE;FRANCE;33700;MERIGNAC;05 56 18 58 10;;M.
33723;CHATEAU LE BOURDIEU VALEYRAC;1 ROUTE DE TROUSSAS;;33340;VALEYRAC;05 56 41 58 52;BAILLAY;CHATEAU LE BOURDIEU VALEYRAC;;1 ROUTE DE TROUSSAS;;33340;VALEYRAC;05 56 41 58 52;;BAILLAY
33724;CHATEAU HAUT MARBUZET;SF H. DUBOSC ET FILS;7 RUE MAC CARTHY;33180;ST ESTEPHE;05 56 59 30 54;TEIXEIRA;CHATEAU HAUT MARBUZET;;SF H. DUBOSC ET FILS;7 RUE MAC CARTHY;33180;ST ESTEPHE;05 56 59 30 54;;TEIXEIRA
33725;CHATEAU LA PEYRE;RENE RABILLER;LA CENDRAYRE;33180;ST ESTEPHE;05 56 59 32 51;M.;CHATEAU LA PEYRE;;VIGNOBLES RABILLER;LA CENDRAYRE;33180;ST ESTEPHE;05 56 59 32 51;;M.
33726;SEE LAFOND ANTHONY;PLOMBIER;5 RUE DU 19 MARS 1962;33180;ST ESTEPHE;05 56 59 32 74;M.;SEE LAFOND ANTHONY;;PLOMBIER;5 RUE DU 19 MARS 1962;33180;ST ESTEPHE;05 56 59 32 74;;M.
33727;LABORATOIRE COUDER;PROTHESISTE DENTAIRE;4 RUE ST EXUPERY;33340;LESPARRE MEDOC;05 56 41 85 97;M.;LABORATOIRE COUDER;;PROTHESISTE DENTAIRE;4 RUE ST EXUPERY;33340;LESPARRE MEDOC;05 56 41 85 97;;M.
33729;ATLANTIC CHAUFFAGE CONFORT;38 RUE DU SERGENT LOUCHART;;33990;HOURTIN;05 56 09 06 71;MR TACHOIRES;ATLANTIC CHAUFFAGE CONFORT;;38 RUE DU SERGENT LOUCHART;;33990;HOURTIN;05 56 09 06 71;;MR TACHOIRES
33730;LASSALLE ET FILS;CHATEAU BELLEVUE;10 RUE DU 8 MAI 1945;33340;VALEYRAC;05 56 41 52 17;LASSALLE ET FILS;LASSALLE ET FILS;;CHATEAU BELLEVUE;10 RUE DU 8 MAI 1945;33340;VALEYRAC;05 56 41 52 17;;LASSALLE ET FILS
33732;PCEC;379 AVENUE DE VERDUN;;33700;MERIGNAC;05 57 89 20 48;MME CANNEAUX;PCEC;;379 AVENUE DE VERDUN;;33700;MERIGNAC;05 57 89 20 48;;MME CANNEAUX
33733;MAITRES DENIS ET ROUSSEAUD;NOTAIRES;11 COURS GEORGES MANDEL;33340;LESPARRE MEDOC;05 56 41 03 17;MUSETTI;MAITRES DENIS & ROUSSEAUD;;NOTAIRES;11 COURS GEORGES MANDEL;33340;LESPARRE MEDOC;05 56 41 03 17;;MUSETTI
33736;LECHEVIN;8 ZONE D'ACTIVITES;;33112;ST LAURENT MEDOC;05 56 59 46 43;MR LECHEVIN;LECHEVIN;;8 ZONE D'ACTIVITES;;33112;ST LAURENT MEDOC;05 56 59 46 43;;MR LECHEVIN
33737;SCEA VIGNOBLES JFB;18 RUE DE LA CHATELLERIE;;33180;VERTHEUIL;05 56 41 96 71;M.;SCEA VIGNOBLES JFB;;18 RUE CHATELLERIE;;33180;VERTHEUIL;05 56 41 96 71;;M.
33738;MAIRIE DE VENDAYS           CL;COIN LECTURE;11 PLACE DE LA MAIRIE;33930;VENDAYS MONTALIVET;;M.;COIN LECTURE;;MAIRIE DE VENDAYS;11 PLACE DE LA MAIRIE;33930;VENDAYS MONTALIVET;;;M.
33739;CHATEAU LASSUS LE REYSSE;1 ROUTE DE CONDISSAS;;33340;BEGADAN;05 56 41 50 79;CHATEAU LASSUS LE REYSSE;CHATEAU LASSUS LE REYSSE;;1 ROUTE DE CONDISSAS;;33340;BEGADAN;05 56 41 50 79;;CHATEAU LASSUS LE REYSSE
33740;CAMPING LES OURMES;90 AVENUE DU LAC;BP29;33990;HOURTIN;05 56 09 12 76;CLAVERO;CAMPING LES OURMES;;90 AVENUE DU LAC;BP29;33990;HOURTIN;05 56 09 12 76;;CLAVERO
33741;CARROSSERIE ST LAURENTAISE;2 RUE DE LA CHATOLETTE;;33112;ST LAURENT MEDOC;05 56 59 91 55;M.;CARROSSERIE ST LAURENTAISE;;2 RUE DE LA CHATOLETTE;;33112;ST LAURENT MEDOC;05 56 59 91 55;;FREDERIC DELFOUR
33742;CHATEAU LE VIEUX FORT;VIGNOBLES BERGEY;3 ROUTE DE LAVERDASSE;33340;VALEYRAC;05 56 09 57 19;M.;CHATEAU LE VIEUX FORT;;VIGNOBLES BERGEY;3 ROUTE DE LAVERDASSE;33340;VALEYRAC;05 56 09 57 19;;M.
33744;CPCM;1 PA LES ROSSIGNEUX;1 RUE LATOULOUSE;33113;ST SYMPHORIEN;06 27 44 84 93;VALERIE;CPCM;;9 RUE FONTAINE OURDILLE;1 RUE LATOULOUSE;33460;CUSSAC FORT MEDOC;06 27 44 84 93;;M.
33745;COM CONSEIL RH;10 BIS RUE PROFESSEUR CALMETTE;;33150;CENON;05 56 32 70 14;M.;COM CONSEIL RH;;10 BIS RUE PROFESSEUR CALMETTE;;33150;CENON;05 56 32 70 14;;M.
33746;MAIRIE DE ST JULIEN BEYCHEVELL;1 PLACE HOTEL DE VILLE;;33250;ST JULIEN BEYCHEVELLE;05 56 59 08 11;MAIRIE DE ST JULIEN BEYCHEVELL;MAIRIE DE ST JULIEN BEYCHEVELL;;1 PLACE HOTEL DE VILLE;;33250;ST JULIEN BEYCHEVELLE;05 56 59 08 11;;MAIRIE DE ST JULIEN BEYCHEVELL
33749;FONDATION ST LEONARD;1 BIS RUE MAURICE REY;BP 40062;33341;LESPARRE MEDOC CEDEX;05 56 73 40 34;FONDATION ST LEONARD;FONDATION ST LEONARD;;1 BIS RUE MAURICE REY;BP 40062;33341;LESPARRE MEDOC CEDEX;05 56 73 40 34;;FONDATION ST LEONARD
33750;MR ET MME SEUTIN MICHEL;4 ROUTE DE LESPARRE;;33340;GAILLAN EN MEDOC;05 56 41 05 76;MR ET MME SEUTIN MICHEL;MR ET MME SEUTIN MICHEL;;4 ROUTE DE LESPARRE;;33340;GAILLAN EN MEDOC;05 56 41 05 76;;MR ET MME SEUTIN MICHEL
33754;MAITRE PASTOR BRUNET;14 RUE TOULOUSE LAUTREC;;33000;BORDEAUX;05 56 02 25 03;MME SANDRINE BOUCHER;MAITRE PASTOR;;14 RUE TOULOUSE LAUTREC;;33000;BORDEAUX;05 56 02 25 03;;M.
33756;CASTETS BTP;1 RUE PALU DE BERT -  EST;;33780;SOULAC SUR MER;;;CASTETS BTP;;1 RUE PALU DE BERT -  EST;;33780;SOULAC SUR MER;;;
33757;ALLO SERVICE BORDEAUX;6 RUE JULES GUESDE;;33000;BORDEAUX;06 13 14 20 56;M.;ALLO SERVICE BORDEAUX;;6 RUE JULES GUESDE;;33000;BORDEAUX;06 13 14 20 56;;M.
33758;SUD MARINE SHIPYARD;FORME 1 - 2 & 7;BLD DES BASSINS DE RADOUB;13002;MARSEILLE;04 91 63 68 65;CAROLE FANARA;SUD MARINE SHIPYARD;;FORME 1 - 2 & 7;BLD DES BASSINS DE RADOUB;13002;MARSEILLE;04 91 63 68 65;;M.
