Code;FacNom;FacAdr;FacSuiteAdr;FacCp;FacVille;Expr1006;FacInterloc;LivNom;LivCivilite;LivAdr;LivSuiteAdr;LivCp;LivVille;FacTel;LivPortable;LivInterloc
31200;AXA ASSURANCES;AJAMIAN RAPHAEL;38 RUE BERRUER B P 90040;33035;BORDEAUX CEDEX;05 56 90 82 82;M.;RAPHAEL  AJAMIAN;;AXA ASSURANCES;38 RUE BERRUER B P 90040;33035;BORDEAUX CEDEX;05 56 90 82 82;;RAPHAEL  AJAMIAN
31210;ALPHA 47;98-100 RUE DE LA LIBERATION;;47200;MARMANDE;;M.;ALPHA 47;;98-100 RUE DE LA LIBERATION;;47200;MARMANDE;;;ALPHA 47
31220;LAIQUE DU PRADO  - DG;SERVICE COMPTABILITE;143 - 145 COURS GAMBETTA B P 8;33402;TALENCE;;M.;ALP - DIRECTION GENERALE;;143-145 COURS GAMBETTA;143 - 145 COURS GAMBETTA B P 8;33400;TALENCE;;;M.
31230;ARION SCM;37  RUE DU GENERAL LARMINAT;6EME ETAGE;33000;BORDEAUX;05 57 30 05 05;LAURENT LALANNE;ARION SCM;;37  RUE DU GENERAL LARMINAT;6EME ETAGE;33000;BORDEAUX;05 57 30 05 05;;LAURENCE
31270;ART'UR ARCHITECTES;80 QUAI DES CHARTRONS;7893A;33000;BORDEAUX;05 56 90 75 30;MME PICARD;ART'UR ARCHITECTES;;80 QUAI DES CHARTRONS 7893A;7893A;33000;BORDEAUX;05 56 90 75 30;;MME PICARD
31300;ATOL VOIR POUR DECOUVRIR;BAL 25 - C-C MERIADECK;57 RUE DU CHATEAU D'EAU;33000;BORDEAUX;05 56 98 40 72;MR MORENO;ATOL VOIR POUR DECOUVRIR;;BAL 25 - C-C MERIADECK;57 RUE DU CHATEAU D'EAU;33000;BORDEAUX;05 56 98 40 72;;CHARBONNEAU
31310;SERARL DE LA FONTAINE;29 PLACE GAMBETTA;;33000;BORDEAUX;05 57 85 95 73;PERSO;SERARL DE LA FONTAINE;;29 PLACE GAMBETTA;;33000;BORDEAUX;05 57 85 95 73;;SERARL DE LA FONTAINE
31320;CABINET ESTHETIQUE FERRERE;16 TER RUE FERRERE;;33000;BORDEAUX;05 56 79 02 02;M.;CABINET ESTHETIQUE FERRERE;;16 TER RUE FERRERE;;33000;BORDEAUX;05 56 79 02 02;;DOCTEUR AZENCOT
31330;CABINET DU GRAND THEATRE;Docteur AZENCOT;5 RUE DE CONDE - 2EME ETAGE;33000;BORDEAUX;05 56 79 77 10;M.;DOCTEUR AZENCOT-;;5 RUE DE CONDE;2EME ETAGE;33000;BORDEAUX;05 56 79 77 10;;SCM AZENCOT GARDET
31340;SELARL BVM;HUISSIERS DE JUSTICE ASSOCIES;39 RUE FRANCOIS DE SOURDIS;33000;BORDEAUX;05 56 48 10 03;PASCAL BACLE;SELARL BVM;;HUISSIERS DE JUSTICE ASSOCIES;39 RUE FRANCOIS DE SOURDIS;33000;BORDEAUX;05 56 48 10 03;;Compta
31350;SOCIETE NOUVELLE H.BARRE;107 RUE GEORGES BONNAC;;33000;BORDEAUX;05 56 96 80 26;ERIC BARBIN;SOCIETE NOUVELLE H BARRE;;107 RUE GEORGES BONNAC;;33000;BORDEAUX;05 56 96 80 26;;MONSIEUR BARBIN ERIC
31370;CENTRES D ANIMATIONS;DE BORDEAUX  CENTRE SOCIAL & C;23 RUE RAYMOND POINCARE;33100;BORDEAUX-BASTIDE;05 56 86 16 21;DELPHINE;ASS DES CENTRES D ANIMATIONS;;DE BORDEAUX CENTRE SOCIAL & CU;23 RUE RAYMOND POINCARE;33100;BORDEAUX;05 56 86 16 21;;ASS DES CENTRES D ANIMATIONS
31390;MAITRE BLAZY;AVOCAT A LA COUR;4 RUE MICHEL MONTAIGNE;33000;BORDEAUX;05 56 48 21 92;MAITRE LOYCE CONTY;MAITRE BLAZY;;AVOCAT A LA COUR;4 RUE MICHEL MONTAIGNE 2�me ET;33000;BORDEAUX;05 56 48 21 92;;M.
31400;BMA BORDEAUX METROPLE AMENAG.;38 RUE DE CURSOL;CS 80010;33001;BORDEAUX CEDEX;05 56 99 31 99;CATHERINE BICAIS;BMA BORDEAUX METROPLE AMENAG.;;38 RUE DE CURSOL;CS 80010;33001;BORDEAUX CEDEX;05 56 99 31 99;;CATHERINE BICAIS
31430;DE BOUSSAC-DI PACE BENEDICTE;AVOCAT A LA COUR;1 COURS GEORGES CLEMENCEAU;33000;BORDEAUX;05 56 52 21 93;Sabine BERGERES;BENEDICTE DE BOUSSAC-DI PACE;;AVOCAT A LA COUR;1 COURS GEORGES CLEMENCEAU;33000;BORDEAUX;05 56 52 21 93;;BENEDICTE DE BOUSSAC-DI PACE
31440;CARLES;Z A DE L AYGUE NEGRE;;33290;LUDON-MEDOC;05 57 88 42 38;M.;ETS CARLES;;ZA DE L AYGUE NEGRE;;33290;LUDON-MEDOC;05 57 88 42 38;;ETS CARLES
31460;CCAS;PLACE CHARLES DE GAULLE;;33127;MARTIGNAS-SUR-JALLE;05 57 97 00 51;CCAS;C   C   A   S;;PLACE CHARLES DE GAULLE;;33127;MARTIGNAS-SUR-JALLE;05 57 97 00 51;;CCAS
31490;SCM GYNECO GALLIEN;68 RUE DU PALAIS GALLIEN;2EME ETAGE;33000;BORDEAUX;05 56 52 43 17;SANDRINE BRUGERE;SCM GYNECO GALLIEN;;68 RUE DU PALAIS GALLIEN;2EME ETAGE;33000;BORDEAUX;05 56 52 43 17;;SANDRINE BRUGERE
31520;CITYA BORDEAUX IMMOBILIER;42 COURS D ALSACE ET LORRAINE;;33082;BORDEAUX;05 56 48 37 23;C MOREAU- N PERUS;CITYA BORDEAUX IMMOBILIER;;42 COURS D ALSACE ET LORRAINE;;33082;BORDEAUX;05 56 48 37 23;;Nathalie PERUS
31550;EGI;1 RUE LILIENTHAL;;77184;EMERAINVILLE;05 56 77 83 66;SOPHIE SERVEILLE;EGI;;35 QUAI DE VIAL;;33530;BASSENS;05 56 77 83 66;;SOPHIE SERVEILLE
31560;CONSEIL VOYAGE AQUITAINE;3 RUE DU CHATEAU D'EAU;;33000;BORDEAUX;05 56 44 06 75;M.;CONSEIL VOYAGE AQUITAINE;;3 RUE DU CHATEAU D'EAU;;33000;BORDEAUX;05 56 44 06 75;;CONSEIL VOYAGE AQUITAINE
31580;CORDIER PHILIPPE - SELURL;ARCHITECTE DPLG;23 AV DE LA MARNE;33700;MERIGNAC;05 56 90 07 00;M. CORDIER;S E L U R L - PHILIPPE CORDIER;;ARCHITECTE DPLG;23 AV DE LA MARNE;33700;MERIGNAC;05 56 90 07 00;;CORDIER
